File,Class,Eigenvector 1 (X-axis),Eigenvector 2 (Y-axis),Eigenvector 3 (Z-axis)
m34.obj,Bird,1.0,1.7228849982491852e-16,2.9318982994458884e-17
m35.obj,Bird,1.0,1.7355277613547998e-15,2.271020293866831e-15
m36.obj,Bird,1.0,1.0,1.0
m37.obj,Bird,1.0,2.7347626618813274e-16,3.494110937815064e-17
m38.obj,Bird,1.0,3.3641912272840236e-16,1.2078460461213637e-16
m39.obj,Bird,1.0,2.1892943332424456e-16,1.1680678287745533e-16
m40.obj,Bird,1.0,4.447656037151147e-17,1.177243556217698e-16
m41.obj,Bird,1.0,1.8942289750417786e-16,1.1042145997275051e-16
m42.obj,Bird,1.0,1.0,1.0
m43.obj,Bird,1.0,3.136761092778889e-16,1.8654911311863133e-16
m44.obj,Bird,1.0,2.8298109649216365e-17,2.692373869006598e-17
m45.obj,Bird,1.0,8.18704585407651e-18,3.2852618261002986e-16
m47.obj,Bird,1.0,1.0,1.0
m48.obj,Bird,1.0,4.2631748709697145e-15,7.592355650944632e-15
m49.obj,Bird,1.0,1.0,1.0
m50.obj,Bird,1.0,2.9730398805587674e-16,1.8651465924504537e-16
m51.obj,Bird,1.0,1.0,1.0
m52.obj,Bird,1.0,1.0,1.0
D01009.obj,Bookset,1.0,4.575107104490091e-15,5.521403043205258e-15
D01013.obj,Bookset,1.0,1.0,1.0
D01030.obj,Bookset,1.0,1.0,1.0
D01038.obj,Bookset,1.0,1.0,1.0
D01042.obj,Bookset,1.0,4.963257915136354e-16,1.1670463440936168e-16
D01050.obj,Bookset,1.0,1.0,1.0
D01065.obj,Bookset,1.0,1.3909027802750631e-14,1.5740907508891575e-14
D01078.obj,Bookset,1.0,2.471000118150789e-16,1.1979911555328678e-17
D01096.obj,Bookset,1.0,1.0,1.0
D01108.obj,Bookset,1.0,4.658117231665337e-15,2.331148714158859e-15
D01109.obj,Bookset,1.0,1.480510518473831e-15,1.7763816042237955e-16
D01110.obj,Bookset,1.0,1.0,1.0
D01122.obj,Bookset,1.0,1.0,1.0
D01135.obj,Bookset,1.0,1.0,1.0
D01146.obj,Bookset,1.0,9.413878211045004e-17,4.612907730962772e-16
D01182.obj,Bookset,1.0,1.0,1.0
D01183.obj,Bookset,1.0,2.2193521388957692e-16,2.2193521388957692e-16
D01184.obj,Bookset,1.0,1.0,1.0
D01190.obj,Bookset,1.0,2.1658582586572766e-16,5.530296827261037e-16
D01199.obj,Bookset,1.0,1.0,1.0
D00020.obj,Bottle,1.0,4.382861721268243e-14,4.188910842204417e-14
D00123.obj,Bottle,1.0,1.0,1.0
D00139.obj,Bottle,1.0,1.0,1.0
D00166.obj,Bottle,1.0,1.0,1.0
D00176.obj,Bottle,1.0,1.313652822237551e-12,1.283923097193872e-12
D00208.obj,Bottle,1.0,1.0,1.0
D00281.obj,Bottle,1.0,7.991444248098759e-17,1.8312267645873005e-16
D00311.obj,Bottle,1.0,1.706694295951153e-11,1.7067051984128307e-11
D00347.obj,Bottle,1.0,8.998416349855416e-14,7.278153810444528e-14
D00350.obj,Bottle,1.0,1.0,1.0
D00390.obj,Bottle,1.0,1.0,1.0
D00451.obj,Bottle,1.0,1.0,1.0
D00679.obj,Bottle,1.0,4.751609167724932e-16,3.2273463225315337e-16
D00696.obj,Bottle,1.0,0.9999999983288197,0.9999999983288197
D00711.obj,Bottle,1.0,1.0,1.0
D00716.obj,Bottle,1.0,1.0,1.0
D00726.obj,Bottle,1.0,1.0,1.0
D00892.obj,Bottle,1.0,1.0,1.0
D00940.obj,Bottle,1.0,1.0,1.0
D00959.obj,Bottle,1.0,2.860693836856595e-07,2.8606097866666724e-07
m482.obj,Bottle,1.0,6.472074813663664e-17,2.823375943230259e-18
m483.obj,Bottle,1.0,1.0,1.0
m484.obj,Bottle,1.0,1.0,1.0
m485.obj,Bottle,1.0,3.9612254274240615e-12,3.961013230966151e-12
m486.obj,Bottle,1.0,1.0,1.0
m487.obj,Bottle,1.0,1.0,1.0
m488.obj,Bottle,1.0,2.7362186953700224e-13,2.955264682550353e-13
m489.obj,Bottle,1.0,1.0,1.0
m490.obj,Bottle,1.0,1.0,1.0
m491.obj,Bottle,1.0,3.1808251842728558e-15,2.3442039358970202e-15
m492.obj,Bottle,1.0,1.0594612801349133e-11,1.0594513777348268e-11
m382.obj,BuildingNonResidential,1.0,7.408340943597401e-16,2.712388345872434e-16
m383.obj,BuildingNonResidential,1.0,1.0,1.0
m384.obj,BuildingNonResidential,1.0,8.663108897521964e-16,1.0549441564388375e-15
m385.obj,BuildingNonResidential,1.0,1.0,1.0
m386.obj,BuildingNonResidential,1.0,1.0,1.0
m387.obj,BuildingNonResidential,1.0,1.0,1.0
m389.obj,BuildingNonResidential,1.0,1.0881762402960871e-14,1.1958335704676068e-14
m390.obj,BuildingNonResidential,1.0,7.958829605336385e-15,7.79034606513918e-15
m391.obj,BuildingNonResidential,1.0,1.0,1.0
m392.obj,BuildingNonResidential,1.0,1.0,1.0
m393.obj,BuildingNonResidential,1.0,1.0,1.0
m394.obj,BuildingNonResidential,1.0,1.0,1.0
m395.obj,BuildingNonResidential,1.0,1.0,1.0
m396.obj,BuildingNonResidential,1.0,1.0,1.0
m397.obj,BuildingNonResidential,1.0,5.1261443294588777e-14,3.4168342370220295e-14
m398.obj,BuildingNonResidential,1.0,1.0,1.0
m399.obj,BuildingNonResidential,1.0,0.0,0.0
m400.obj,BuildingNonResidential,1.0,4.0364738897440575e-14,4.1617960505362855e-14
m401.obj,BuildingNonResidential,1.0,1.0,1.0
m402.obj,BuildingNonResidential,1.0,1.0,1.0
m404.obj,BuildingNonResidential,1.0,1.0,1.0
m405.obj,BuildingNonResidential,1.0,1.0,1.0
m406.obj,BuildingNonResidential,1.0,1.0,1.0
m407.obj,BuildingNonResidential,1.0,1.0,1.0
m408.obj,BuildingNonResidential,1.0,1.0,1.0
m409.obj,BuildingNonResidential,1.0,1.0,1.0
m410.obj,BuildingNonResidential,1.0,1.0,1.0
m412.obj,BuildingNonResidential,1.0,1.0,1.0
m413.obj,BuildingNonResidential,1.0,1.0,1.0
m414.obj,BuildingNonResidential,1.0,0.9999999999999998,0.9999999999999998
m415.obj,BuildingNonResidential,1.0,1.0,1.0
m416.obj,BuildingNonResidential,1.0,1.0,1.0
m418.obj,BuildingNonResidential,1.0,9.714451465470689e-17,3.732419147774079e-16
m420.obj,BuildingNonResidential,1.0,4.485109621208913e-15,4.485109621208913e-15
m421.obj,BuildingNonResidential,1.0,1.0,1.0
m470.obj,BuildingNonResidential,1.0,1.0,1.0
m471.obj,BuildingNonResidential,1.0,1.0,1.0
m472.obj,BuildingNonResidential,1.0,1.0,1.0
m474.obj,BuildingNonResidential,1.0,1.0,1.0
m475.obj,BuildingNonResidential,1.0,9.714451465470122e-16,1.7759800523464286e-16
m477.obj,BuildingNonResidential,1.0,1.0,1.0
m478.obj,BuildingNonResidential,1.0,1.0,1.0
m479.obj,BuildingNonResidential,1.0,5.930045036635775e-16,5.780756585570333e-16
m481.obj,BuildingNonResidential,1.0,1.0,1.0
D00084.obj,Bus,1.0,1.0,1.0
D00114.obj,Bus,1.0,1.0,1.0
D00151.obj,Bus,1.0,6.58509197094688e-14,6.553809340056766e-14
D00179.obj,Bus,1.0,1.0,1.0
D00182.obj,Bus,1.0,2.1404469651295345e-14,2.1404469651295345e-14
D00264.obj,Bus,1.0,1.0,1.0
D00411.obj,Bus,1.0,1.0,1.0
D00436.obj,Bus,1.0,1.0,1.0
D00446.obj,Bus,1.0,1.0,1.0
D00448.obj,Bus,1.0,1.0,1.0
D00483.obj,Bus,1.0,1.0,1.0
D00516.obj,Bus,1.0,2.0933959294051604e-16,4.014529893838377e-16
D00677.obj,Bus,1.0,1.0,1.0
D00754.obj,Bus,1.0,1.0,1.0
D00769.obj,Bus,1.0,1.0,1.0
D00775.obj,Bus,1.0,8.188088996334561e-16,5.388979554223462e-16
D00815.obj,Bus,1.0,5.594331556739693e-16,7.794153169618841e-16
D00823.obj,Bus,1.0,7.685275359538744e-17,3.965944439703417e-16
D00832.obj,Bus,1.0,1.0,1.0
D00857.obj,Bus,1.0,1.0,1.0
D00168.obj,Car,1.0,1.0,1.0
D00236.obj,Car,1.0,1.0,1.0
D00260.obj,Car,1.0,1.0,1.0
D00265.obj,Car,1.0,1.6856689328981233e-16,2.5730935559933397e-16
D00299.obj,Car,1.0,9.974750655910797e-17,4.2211621275059403e-16
D00377.obj,Car,1.0,1.0,1.0
D00405.obj,Car,1.0,1.0,1.0
D00452.obj,Car,1.0,1.0,1.0
D00504.obj,Car,1.0,1.0,1.0
D00541.obj,Car,1.0,7.86225852769849e-17,7.86225852769849e-17
D00618.obj,Car,1.0,1.0,1.0
D00670.obj,Car,1.0,1.0412446710241853e-16,5.1588513245068075e-17
D00671.obj,Car,1.0,8.1620284708373e-17,2.5038536637680753e-16
D00724.obj,Car,1.0,1.0,1.0
D00767.obj,Car,1.0,6.426578340148334e-17,2.1777023275409263e-16
D00785.obj,Car,1.0,1.0,1.0
D00793.obj,Car,1.0,1.0,1.0
D00803.obj,Car,1.0,9.25669108928417e-17,1.0603582136694016e-16
D00865.obj,Car,1.0,1.0,1.0
D00976.obj,Car,1.0,1.0,1.0
m1485.obj,Car,1.0,1.0,1.0
m1486.obj,Car,1.0,1.0,1.0
m1487.obj,Car,1.0,1.0,1.0
m1488.obj,Car,1.0,1.0,1.0
m1489.obj,Car,1.0,1.0,1.0
m1490.obj,Car,1.0,1.0,1.0
m1492.obj,Car,1.0,1.055278484563159e-15,1.3881262483047847e-15
m1495.obj,Car,1.0,1.0,1.0
m1496.obj,Car,1.0,1.0,1.0
m1497.obj,Car,1.0,1.0,1.0
m1498.obj,Car,1.0,1.0,1.0
m1499.obj,Car,1.0,1.7951780009586628e-16,1.7951780009586628e-16
m1500.obj,Car,1.0,1.0,1.0
m1502.obj,Car,1.0,6.5775486237460395e-18,1.74329820188216e-16
m1503.obj,Car,1.0,2.6875471770931943e-16,1.0708499241944672e-16
m1504.obj,Car,1.0,1.0,1.0
m1505.obj,Car,1.0,1.0,1.0
m1506.obj,Car,1.0,1.0,1.0
m1507.obj,Car,1.0,2.8807068688090723e-16,2.265907529962888e-16
m1508.obj,Car,1.0,1.7543859644687718e-16,1.484558797984012e-17
m1509.obj,Car,1.0,1.0,1.0
m1510.obj,Car,1.0,1.0,1.0
m1511.obj,Car,1.0,1.0,1.0
m1512.obj,Car,1.0,1.969789920226208e-16,2.6350586893658554e-16
m1513.obj,Car,1.0,5.256020166515438e-16,6.716266860436634e-16
m1514.obj,Car,1.0,1.0,1.0
m1515.obj,Car,1.0,1.7167505765193647e-16,4.1830497063305514e-17
m1516.obj,Car,1.0,1.0,1.0
m1517.obj,Car,1.0,1.0,1.0
m1518.obj,Car,1.0,1.0,1.0
m1519.obj,Car,1.0,1.0,1.0
m1521.obj,Car,1.0,7.802616400392103e-17,9.809019407891253e-17
m1522.obj,Car,1.0,1.0,1.0
m1523.obj,Car,1.0,1.0,1.0
m1524.obj,Car,1.0,1.0,1.0
m1525.obj,Car,1.0,8.27241928132993e-17,4.2166871322975044e-17
m1526.obj,Car,1.0,1.3025880307666944e-16,1.7769909765732374e-16
m1527.obj,Car,1.0,1.0,1.0
m1528.obj,Car,1.0,1.1772467972994196e-16,6.8870216351702545e-18
m1529.obj,Car,1.0,1.524680076902915e-16,3.140062006377138e-17
m1530.obj,Car,1.0,1.427425683893709e-16,1.8211127092795467e-16
m1531.obj,Car,1.0,2.8894653395117785e-16,1.9175265378833955e-16
m1532.obj,Car,1.0,1.0,1.0
m1533.obj,Car,1.0,1.0,1.0
m1535.obj,Car,1.0,1.0186541009910744e-16,3.819976613446739e-17
m1536.obj,Car,1.0,1.0,1.0
m1538.obj,Car,1.0,1.1285113358326221e-17,1.508677141445211e-16
m1539.obj,Car,1.0,1.7166498891440332e-16,2.8305063050588735e-17
m1540.obj,Car,1.0,4.578589002028955e-16,1.8673491628967918e-18
m1542.obj,Car,1.0,6.985632492658988e-17,6.698136533483124e-17
m1543.obj,Car,1.0,3.9735549632532887e-17,3.9735549632532887e-17
m1544.obj,Car,1.0,2.8570884309764293e-17,9.712186619951011e-17
m1545.obj,Car,1.0,1.2116883882008518e-16,5.381613915652365e-18
m1546.obj,Car,1.0,3.463528331268825e-16,7.627189124520988e-18
m1547.obj,Car,1.0,1.0,1.0
m1548.obj,Car,1.0,1.2116883882008518e-16,5.381613915652365e-18
m1550.obj,Car,1.0,1.0,1.0
m1551.obj,Car,1.0,4.389500049584368e-16,1.2802142865529872e-16
m1552.obj,Car,1.0,1.0,1.0
m1553.obj,Car,1.0,3.9148771429167257e-16,1.1858277660462368e-17
m1555.obj,Car,1.0,1.0,1.0
m1556.obj,Car,1.0,1.0,1.0
m1557.obj,Car,1.0,1.0,1.0
m1558.obj,Car,1.0,1.220685596399053e-16,4.362456652130433e-17
m1559.obj,Car,1.0,1.0,1.0
m1560.obj,Car,1.0,3.0598032876205496e-16,2.800900592834616e-16
m1561.obj,Car,1.0,4.747225216170255e-16,1.8454568952724086e-16
m1562.obj,Car,1.0,5.692910472184022e-16,4.8801518027827e-16
m1563.obj,Car,1.0,2.2219475953703356e-16,2.910523958692146e-16
D00018.obj,Cellphone,1.0,1.0,1.0
D00032.obj,Cellphone,1.0,7.173861499343265e-16,6.377022230158283e-16
D00079.obj,Cellphone,1.0,4.89532912942037e-16,4.821435674505224e-17
D00152.obj,Cellphone,1.0,1.0,1.0
D00192.obj,Cellphone,1.0,1.0,1.0
D00248.obj,Cellphone,1.0,1.0,1.0
D00312.obj,Cellphone,1.0,1.0,1.0
D00327.obj,Cellphone,1.0,1.0,1.0
D00362.obj,Cellphone,1.0,1.0,1.0
D00369.obj,Cellphone,1.0,1.0,1.0
D00440.obj,Cellphone,1.0,1.2680314726341966e-16,2.0139412654008814e-16
D00527.obj,Cellphone,1.0,2.838605513275769e-17,5.3693002552594976e-17
D00542.obj,Cellphone,1.0,1.0,1.0
D00554.obj,Cellphone,1.0,1.0,1.0
D00559.obj,Cellphone,1.0,1.0,1.0
D00817.obj,Cellphone,1.0,1.0,1.0
D00848.obj,Cellphone,1.0,1.0,1.0
D00902.obj,Cellphone,1.0,1.0,1.0
D00979.obj,Cellphone,1.0,1.0,1.0
D00997.obj,Cellphone,1.0,1.0,1.0
D01017.obj,Chess,1.0,9.203338310964484e-14,9.181133850471981e-14
D01019.obj,Chess,1.0,1.0,1.0
D01021.obj,Chess,1.0,1.0,1.0
D01043.obj,Chess,1.0,1.0,1.0
D01045.obj,Chess,1.0,0.9999999899273787,0.9999999899273745
D01049.obj,Chess,1.0,1.0,1.0
D01053.obj,Chess,1.0,1.0,1.0
D01080.obj,Chess,1.0,0.7069400270424263,0.7069400382755298
D01081.obj,Chess,1.0,3.165906613859405e-16,5.961940526481848e-17
D01099.obj,Chess,1.0,1.0,1.0
D01105.obj,Chess,1.0,0.7115494058205508,0.7115495179490919
D01112.obj,Chess,1.0,0.9999999920740263,0.9999999920739953
D01123.obj,Chess,1.0,1.0,1.0
D01126.obj,Chess,1.0,0.0012032135078340236,0.001203212833164282
D01130.obj,Chess,1.0,0.9999999996821749,0.9999999996821749
D01138.obj,Chess,1.0,1.0,1.0
D01145.obj,Chess,1.0,1.0,1.0
D01171.obj,Chess,1.0,1.9082384147711383e-15,1.8100663820506306e-15
D01186.obj,Chess,1.0,0.7068315596876895,0.7068319806248164
D01188.obj,Chess,1.0,0.7070987912783895,0.7070988169730855
m1589.obj,Chess,1.0,1.6870445073010529e-16,1.6870445073010529e-16
m1591.obj,Chess,1.0,1.0,1.0
m1593.obj,Chess,1.0,1.781189143876365e-16,9.022713176267492e-18
m1595.obj,Chess,1.0,1.942428202666804e-16,1.6871203964829809e-16
m1596.obj,Chess,1.0,1.2927366512836501e-17,1.4292486825079173e-16
m1598.obj,Chess,1.0,0.999999990073479,0.999999990073479
m1599.obj,Chess,1.0,0.708604374834839,0.7086043748348387
m1600.obj,Chess,1.0,1.0,1.0
m1601.obj,Chess,1.0,1.0,1.0
m1602.obj,Chess,1.0,0.9999999986669512,0.9999999986669503
m1603.obj,Chess,1.0,1.0,1.0
m1604.obj,Chess,1.0,1.0,1.0
m1605.obj,Chess,1.0,1.4247081648378142e-16,7.820323546332245e-17
m1606.obj,Chess,1.0,1.0,1.0
m1607.obj,Chess,1.0,0.9999997020418523,0.9999997020418523
m1608.obj,Chess,1.0,0.7070870227381262,0.7070870067433765
m1609.obj,Chess,1.0,0.7071067811266262,0.7071067811272972
m1610.obj,Chess,1.0,1.0,1.0
m1611.obj,Chess,1.0,0.9999998547732031,0.9999998547733049
m1612.obj,Chess,1.0,0.9999999999699882,0.999999999969988
m1613.obj,Chess,1.0,0.7055612796104894,0.7055612796104894
