file_name,class,vertex_count,face_count
D00310.obj,,5934,9480
D00311.obj,,728,1448
D00312.obj,,348,644
D00313.obj,,6146,36864
D00314.obj,,6800,31047
D00315.obj,,314,572
D00316.obj,,48061,94497
D00317.obj,,1042,2706
D00318.obj,,4313,8494
D00319.obj,,931,1862
D00320.obj,,9723,17476
D00321.obj,,560,1112
D00322.obj,,7442,14796
D00323.obj,,260,364
D00324.obj,,2454,15021
D00325.obj,,8465,16975
D00326.obj,,3051,6052
D00327.obj,,6318,11987
D00328.obj,,2570,5231
D00329.obj,,540,1064
D00330.obj,,9502,18523
D00331.obj,,4990,34089
D00332.obj,,414,1578
D00333.obj,,5923,11290
D00334.obj,,5859,9976
D00335.obj,,32762,64993
D00336.obj,,9485,15561
D00337.obj,,1397,2806
D00338.obj,,481,3021
D00339.obj,,1366,2375
D00340.obj,,4315,27552
D00341.obj,,7452,14908
D00342.obj,,32572,64374
D00343.obj,,1053,2008
D00344.obj,,136,236
D00345.obj,,18397,33774
D00346.obj,,1508,2904
D00347.obj,,2165,4438
D00348.obj,,2006,3008
D00349.obj,,1299,7410
D00350.obj,,490,921
D00351.obj,,3206,5549
D00352.obj,,129,254
D00353.obj,,11914,72831
D00354.obj,,3242,6348
D00355.obj,,7114,14224
D00356.obj,,3084,6142
D00357.obj,,10120,20200
D00358.obj,,7435,48261
D00359.obj,,34797,66144
D00360.obj,,6193,35826
D00361.obj,,26850,51403
D00362.obj,,27252,53829
D00363.obj,,3426,6976
D00364.obj,,14887,30258
D00365.obj,,7244,14412
D00366.obj,,1294,2540
D00367.obj,,2783,3692
D00368.obj,,4651,9270
D00369.obj,,925,1735
D00370.obj,,7930,8928
D00371.obj,,17875,31606
D00372.obj,,785,1505
D00373.obj,,5941,12536
D00374.obj,,1481,2575
D00375.obj,,4790,30513
D00376.obj,,1069,6219
D00377.obj,,8260,16515
D00378.obj,,69,116
D00379.obj,,8453,10608
D00380.obj,,459,874
D00381.obj,,735,5196
D00382.obj,,8341,40758
D00383.obj,,192,1362
D00384.obj,,1272,2216
D00385.obj,,12531,7366
D00386.obj,,1751,3498
D00387.obj,,18962,37916
D00388.obj,,3767,7212
D00389.obj,,27486,50407
D00390.obj,,1380,2742
D00391.obj,,1812,3488
D00393.obj,,27500,41792
D00394.obj,,29285,58292
D00395.obj,,7004,12538
D00396.obj,,3397,6096
D00397.obj,,5207,7990
D00398.obj,,3810,6412
D00399.obj,,2762,5295
D00400.obj,,9578,18962
D00401.obj,,355,551
D00402.obj,,393,668
D00403.obj,,27338,54523
D00404.obj,,1296,8244
D00405.obj,,12440,24552
D00406.obj,,1419,9108
D00407.obj,,215,408
D00408.obj,,3435,6750
D00409.obj,,12515,24612
D00410.obj,,2167,4254
D00411.obj,,4964,34821
D00412.obj,,2930,4890
D00414.obj,,799,1397
D00415.obj,,25131,46904
D00416.obj,,4694,9011
D00417.obj,,12236,24736
D00418.obj,,2003,6267
D00419.obj,,16724,33404
D00420.obj,,7131,45807
D00421.obj,,95,166
D00422.obj,,109,528
D00423.obj,,1362,2668
D00424.obj,,3725,34776
D00425.obj,,10850,21237
D00426.obj,,36,56
D00427.obj,,5476,10944
D00428.obj,,1030,2048
D00429.obj,,18170,36405
D00430.obj,,23399,46540
D00431.obj,,1420,2708
D00432.obj,,408,700
D00433.obj,,170,304
D00434.obj,,4296,24864
D00435.obj,,2252,4476
D00436.obj,,4587,29118
D00437.obj,,1743,3910
D00438.obj,,1824,3709
D00439.obj,,36867,28551
D00440.obj,,742,1422
D00441.obj,,538,3234
D00442.obj,,8996,17119
D00443.obj,,10328,20392
D00444.obj,,9961,19638
D00445.obj,,718,1356
D00446.obj,,4915,28227
D00447.obj,,4185,8434
D00448.obj,,7367,42369
D00449.obj,,20666,42060
D00450.obj,,3774,6348
D00451.obj,,9202,18236
D00452.obj,,23843,47667
D00453.obj,,685,1012
D00454.obj,,5500,10208
D00455.obj,,7504,15060
D00456.obj,,1936,1697
D00457.obj,,10801,21740
D00458.obj,,17962,34011
D00459.obj,,24710,49474
D00460.obj,,754,4500
D00461.obj,,8636,16932
D00462.obj,,56754,111471
D00463.obj,,4710,9420
D00464.obj,,3016,5657
D00466.obj,,2659,3300
D00467.obj,,3769,5504
D00468.obj,,872,1684
D00469.obj,,230,444
D00470.obj,,496,923
D00471.obj,,10985,20598
D00472.obj,,66,108
D00473.obj,,4496,8027
D00474.obj,,72,363
D00475.obj,,1566,3092
D00476.obj,,25632,45963
D00477.obj,,1995,3772
D00478.obj,,15670,25206
D00479.obj,,28407,35761
D00480.obj,,5063,10066
D00481.obj,,200,364
D00482.obj,,1672,2768
D00483.obj,,6082,25650
D00484.obj,,6595,13168
D00485.obj,,2060,4064
D00486.obj,,1699,3314
D00487.obj,,3224,19092
D00488.obj,,6211,37047
D00489.obj,,1116,2180
D00490.obj,,23374,46318
D00491.obj,,20165,30052
D00492.obj,,13002,25984
D00493.obj,,1300,7944
D00494.obj,,24669,47406
D00495.obj,,4282,8487
D00496.obj,,1598,2579
D00497.obj,,144,852
D00498.obj,,1464,3406
D00499.obj,,2362,4077
D00500.obj,,8944,16677
D00501.obj,,744,1468
D00502.obj,,2740,5138
D00503.obj,,1706,3316
D00504.obj,,5153,9168
D00505.obj,,189,334
D00506.obj,,2841,14943
D00507.obj,,5652,11300
D00508.obj,,10412,20746
D00509.obj,,7312,14620
D00510.obj,,329,550
D00511.obj,,31349,60638
D00512.obj,,341,546
D00513.obj,,3971,7297
D00514.obj,,6951,12939
D00515.obj,,5379,10522
D00516.obj,,4096,24888
D00517.obj,,481,2697
D00518.obj,,5427,32121
D00519.obj,,456,888
D00520.obj,,51626,52041
D00521.obj,,16542,32576
D00523.obj,,12460,25140
D00524.obj,,1141,2262
D00525.obj,,8309,26043
D00526.obj,,679,1232
D00527.obj,,8796,16102
D00528.obj,,204,392
D00529.obj,,38226,74093
D00530.obj,,180,340
D00531.obj,,2300,4546
D00532.obj,,17506,26932
D00533.obj,,31668,18412
D00534.obj,,1864,3600
D00535.obj,,3934,6652
D00536.obj,,29824,60488
D00537.obj,,1596,3190
D00538.obj,,7136,13868
D00539.obj,,21037,41981
D00540.obj,,5573,10922
D00541.obj,,2956,4770
D00542.obj,,16185,59840
D00543.obj,,7537,14375
D00544.obj,,12097,22065
D00545.obj,,415,838
D00546.obj,,1162,2012
D00547.obj,,22837,45584
D00548.obj,,464,883
D00549.obj,,10265,20236
D00550.obj,,12529,24928
D00551.obj,,240,1572
D00552.obj,,6349,12251
D00553.obj,,7248,42048
D00554.obj,,7977,14376
D00555.obj,,34292,64544
D00556.obj,,586,1108
D00557.obj,,444,2754
D00558.obj,,19417,37661
D00559.obj,,2527,5956
D00560.obj,,4230,8368
D00561.obj,,1826,9165
D00562.obj,,2132,12999
D00563.obj,,11136,26964
D00564.obj,,12987,24466
D00565.obj,,826,1628
D00566.obj,,1919,11118
D00567.obj,,436,916
D00568.obj,,2852,5384
D00569.obj,,348,2076
D00570.obj,,2068,11481
D00571.obj,,1245,2409
D00572.obj,,4657,33006
D00573.obj,,23696,23680
D00574.obj,,15615,68220
D00575.obj,,16468,32776
D00576.obj,,12963,26647
D00577.obj,,25354,42389
D00578.obj,,7968,47469
D00579.obj,,2369,12150
D00580.obj,,23655,46682
D00581.obj,,772,1526
D00583.obj,,19010,37418
D00584.obj,,17490,28622
D00585.obj,,876,1728
D00586.obj,,3922,7796
D00587.obj,,7102,14200
D00588.obj,,294,435
D00589.obj,,5516,10976
D00590.obj,,1292,2580
D00591.obj,,5167,30336
D00592.obj,,71,106
D00593.obj,,144,918
D00594.obj,,12160,22067
D00595.obj,,16404,20208
D00596.obj,,169,1329
D00597.obj,,8454,50064
D00598.obj,,6831,43521
D00599.obj,,1792,3626
D00600.obj,,1837,10497
D00601.obj,,17850,36024
D00602.obj,,3456,22923
D00603.obj,,7120,13672
D00604.obj,,986,1527
D00605.obj,,8121,47805
D00606.obj,,3338,6668
D00607.obj,,3156,6272
D00608.obj,,7080,39882
D00609.obj,,6696,10794
D00610.obj,,4438,26382
D00611.obj,,2625,4483
D00612.obj,,11385,4891
D00613.obj,,1196,2437
D00614.obj,,161,224
D00615.obj,,2546,5088
D00616.obj,,17875,37102
D00617.obj,,7418,14840
D00618.obj,,3506,5877
D00619.obj,,5231,31575
D00620.obj,,771,4653
D00621.obj,,2769,5049
D00622.obj,,13324,20094
D00623.obj,,5694,32637
D00624.obj,,11668,15162
D00625.obj,,1091,1398
D00626.obj,,30598,64688
D00627.obj,,6564,38160
D00628.obj,,22753,45128
D00629.obj,,3490,19104
D00630.obj,,3019,5960
D00631.obj,,5444,10712
D00632.obj,,624,1024
D00633.obj,,3712,6334
D00634.obj,,40788,77264
D00635.obj,,621,1238
D00636.obj,,3374,5704
D00637.obj,,7425,15019
D00638.obj,,6786,13568
D00639.obj,,4282,7980
D00640.obj,,12793,25604
D00641.obj,,2335,4363
D00642.obj,,1539,3036
D00643.obj,,3928,6526
D00644.obj,,35044,70103
D00645.obj,,1033,1932
D00646.obj,,1921,3600
D00647.obj,,1713,3374
D00648.obj,,15181,30300
D00649.obj,,2136,4256
D00650.obj,,3752,7443
D00651.obj,,11752,19380
D00652.obj,,4607,9182
D00653.obj,,2885,17058
D00654.obj,,1179,7401
D00655.obj,,5530,11008
D00656.obj,,220,868
D00657.obj,,5671,7624
D00658.obj,,2770,4664
D00659.obj,,163,294
D00660.obj,,9290,18568
D00661.obj,,1848,10491
D00662.obj,,22657,41626
D00663.obj,,11748,20871
D00664.obj,,8301,12812
D00665.obj,,1216,2109
D00666.obj,,469,794
D00667.obj,,1523,2064
D00668.obj,,15305,30554
D00669.obj,,556,3324
D00670.obj,,3861,6755
D00671.obj,,19302,37380
D00672.obj,,3334,5490
D00673.obj,,796,4008
D00674.obj,,173,966
D00675.obj,,3971,25794
D00676.obj,,7956,42939
D00677.obj,,11964,65712
D00678.obj,,1768,3419
D00679.obj,,11776,23052
D00680.obj,,814,1508
D00681.obj,,12682,15557
D00682.obj,,3898,6672
D00683.obj,,515,3282
D00684.obj,,1723,3446
D00685.obj,,5703,11040
D00686.obj,,3504,6901
D00687.obj,,8188,16268
D00688.obj,,5849,10232
D00689.obj,,2683,5388
D00690.obj,,4769,28086
D00691.obj,,4684,5004
D00692.obj,,4176,31218
D00693.obj,,655,1224
D00694.obj,,730,1412
D00695.obj,,790,1500
D00696.obj,,13038,25850
D00697.obj,,217,430
D00698.obj,,398,1044
D00699.obj,,5071,34131
D00700.obj,,7066,13992
D00701.obj,,2198,13341
D00702.obj,,6647,13237
D00703.obj,,46403,90616
D00704.obj,,799,4173
D00705.obj,,3792,7584
D00706.obj,,43899,51962
D00707.obj,,1323,2568
D00708.obj,,22495,44110
D00709.obj,,24,132
